location_code,id
J18-3L,84356
J18-4L,84357
J18-1R,84358
J18-2R,84359
J18-3R,84360
J18-4R,84361
K01-1L,84362
K01-2L,84363
K01-3L,84364
K01-4L,84365
K01-1R,84366
K01-2R,84367
K01-3R,84368
K01-4R,84369
K02-1L,84370
K02-2L,84371
K02-3L,84372
K02-4L,84373
K02-1R,84374
K02-2R,84375
K02-3R,84376
K02-4R,84377
K03-1L,84378
K03-2L,84379
K03-3L,84380
K03-4L,84381
K03-1R,84382
K03-2R,84383
K03-3R,84384
K03-4R,84385
K04-1L,84386
K04-2L,84387
K04-3L,84388
K04-4L,84389
K04-1R,84390
K04-2R,84391
K04-3R,84392
K04-4R,84393
K05-1L,84394
K05-2L,84395
K05-3L,84396
K05-4L,84397
K05-1R,84398
K05-2R,84399
K05-3R,84400
K05-4R,84401
K06-1L,84402
K06-2L,84403
K06-3L,84404
K06-4L,84405
K06-1R,84406
K06-2R,84407
K06-3R,84408
K06-4R,84409
K07-1L,84410
K07-2L,84411
K07-3L,84412
K07-4L,84413
K07-1R,84414
K07-2R,84415
K07-3R,84416
K07-4R,84417
K08-1L,84418
K08-2L,84419
K08-3L,84420
K08-4L,84421
K08-1R,84422
K08-2R,84423
K08-3R,84424
K08-4R,84425
K09-1L,84426
K09-2L,84427
K09-3L,84428
K09-4L,84429
K09-1R,84430
K09-2R,84431
K09-3R,84432
K09-4R,84433
K10-1L,84434
K10-2L,84435
K10-3L,84436
K10-4L,84437
K10-1R,84438
K10-2R,84439
K10-3R,84440
K10-4R,84441
K11-1L,84442
K11-2L,84443
K11-3L,84444
K11-4L,84445
K11-1R,84446
K11-2R,84447
K11-3R,84448
K11-4R,84449
K12-1L,84450
K12-2L,84451
K12-3L,84452
K12-4L,84453
K12-1R,84454
K12-2R,84455
K12-3R,84456
K12-4R,84457
K13-1L,84458
K13-2L,84459
K13-3L,84460
K13-4L,84461
K13-1R,84462
K13-2R,84463
K13-3R,84464
K13-4R,84465
K14-1L,84466
K14-2L,84467
K14-3L,84468
K14-4L,84469
K14-1R,84470
K14-2R,84471
K14-3R,84472
K14-4R,84473
K15-1L,84474
K15-2L,84475
K15-3L,84476
K15-4L,84477
K15-1R,84478
K15-2R,84479
K15-3R,84480
K15-4R,84481
K16-1L,84482
K16-2L,84483
K16-3L,84484
K16-4L,84485
K16-1R,84486
K16-2R,84487
K16-3R,84488
K16-4R,84489
K17-1L,84490
K17-2L,84491
K17-3L,84492
K17-4L,84493
K17-1R,84494
K17-2R,84495
K17-3R,84496
K17-4R,84497
K18-1L,84498
K18-2L,84499
K18-3L,84500
K18-4L,84501
K18-1R,84502
K18-2R,84503
K18-3R,84504
K18-4R,84505
L01-1L,84506
L01-2L,84507
L01-3L,84508
L01-4L,84509
L01-1R,84510
L01-2R,84511
L01-3R,84512
L01-4R,84513
L02-1L,84514
L02-2L,84515
L02-3L,84516
L02-4L,84517
L02-1R,84518
L02-2R,84519
L02-3R,84520
L02-4R,84521
L03-1L,84522
L03-2L,84523
L03-3L,84524
L03-4L,84525
L03-1R,84526
L03-2R,84527
L03-3R,84528
L03-4R,84529
L04-1L,84530
L04-2L,84531
L04-3L,84532
L04-4L,84533
L04-1R,84534
L04-2R,84535
L04-3R,84536
L04-4R,84537
L05-1L,84538
L05-2L,84539
L05-3L,84540
L05-4L,84541
L05-1R,84542
L05-2R,84543
L05-3R,84544
L05-4R,84545
L06-1L,84546
L06-2L,84547
L06-3L,84548
L06-4L,84549
L06-1R,84550
L06-2R,84551
L06-3R,84552
L06-4R,84553
